recording_id,true_label,predicted_label,category,detail,keyword_count,asr_quality,word_count,repetition_rate,transcript
Call recording 7251128_075207,High,High,CORRECT,,1.0,1.0,69.0,0.0983606557377049,අමෙහිමයි ගෙලියුට අවුන්නෙකෙ කුමුර ගෙලියුට අවුන්නෙකෙ අපි කෝයක ඉස්සරහ එසන්කිකඩේ හතර
Call recording 7251128_090539,Medium,High,MODEL_OVERRIDE,"text signal present, acoustics also closer to true class (z=0.23 vs 0.36 for predicted) - model still got it wrong",0.0,1.0,22.0,0.0476190476190476,"අලෝසය ග්‍ර්මෝනී, වි ගෝන් කදිනින්ක කකරන්නේ? ගෝන කදිනින් වි ස්වර් හොලකට දෑනවි, ගෙද"
Call recording 7251128_162532,Low,Low,CORRECT,,0.0,1.0,7.0,0.0,අපි දාකර්කනා සොම මදේස්සනේදු මේ රන්නෙවිකල රන්ටැන්ඩ්‍රැන්ට්‍රැන්ට්‍රැන්ට්‍රැන්ට්‍ර
Call recording 7251128_172437,High,Medium,ASR_FAILURE,no keywords or context features fired,0.0,1.0,15.0,0.0,කරවෙන්ලා හාපදාසේ ඉදෙත් හාමාස් ක්‍රයා මේ ක්‍රවෙන්ල තවුන්නගෙන් ගෙගැලගෙන දුපින්ද්‍ර
Call recording 7_251128_061849,Medium,Low,UNCLEAR,"z_true=1.48 z_pred=1.27, no dominant signal",0.0,1.0,54.0,0.0384615384615384,ඔකියන්න වත්තේගෙම මාධලේ පාරෙ බෙන්විල සොයල්ලකදාව ඊය රෑයයක් පොමති නමේතිකුර දෙපොලවි 
Call recording 7_251128_092626,High,Low,ASR_FAILURE,no keywords or context features fired,0.0,1.0,14.0,0.0,මීගමී දඩුපත හිරකඳවුර්පාරේ හරිය ගාජීනෙකි මෙර හරඥවායකකට අබදහත් වැටිලා ඄රඥවායක කැරි
Call recording 7_251128_130139,Low,Medium,ASR_FAILURE,no keywords or context features fired,0.0,1.0,21.0,0.0,මෙක්ට මේ පේරදෙනිය බොතුරුගල් ගාර්ණකට වතුරුදාලන් එදැසියෙනුහි මෙයක් රත්න කටියක් මරි
Call recording 7_251128_160819,Medium,High,ACOUSTIC_MISMATCH,acoustics closer to High training dist (z=2.02) than Medium (z=2.52),0.0,1.0,45.0,0.0465116279069767,මෙක්මේ එක් මංගැගල්ලෙන් ප්නාකරන්නේ අපේ ගැවුරට සහක්වතිලා ප්‍රහක්දන්ගේ ලැනිදලා කිකග
Call recording 7_251128_220436,Low,High,ASR_FAILURE,no keywords or context features fired,0.0,1.0,25.0,0.0,එලෝවස් ප්‍රදා පොලිස්සයට මීට්‍ර පහන්සියකදර කිත්වයෙන් අපි ඉන්දි. හානම්ද්‍ය අරිසිය.
Call recording 7_251130_150333,Low,Low,CORRECT,,1.0,1.0,27.0,0.0384615384615384,එම්සී මොක්‍රීමේ සරිකමුල්ල හරිය බොල්ගොට ජගයින මෙත් හමයින් දෙස් පිට දැන්ච්වකාව අර 
Call recording _251128_000158,High,High,CORRECT,,1.0,1.0,54.0,0.06,එලෝ මමේ කතා කරන්නෙනුවරෙයි මට මේ අපි අත්කිලා ඉන්නෙ හිදගල එයාලට මේ දැං පිර්ඩිනික ය
Call recording _251128_045727,High,Medium,UNCLEAR,"z_true=1.41 z_pred=1.35, no dominant signal",1.0,1.0,471.0,0.2539682539682539,එලෝ එලෝ එලෝ එලෝ එලෝ එලෝ එලෝ එලෝ එලෝ එලෝ එලෝ එල� එල� එල� එල� එල� එල� එල� එල� එල� 
Call recording _251128_055921,High,Medium,ASR_FAILURE,no keywords or context features fired,0.0,1.0,85.0,0.1904761904761904,මාභුලින් කටාන් වල්නේ මෙන්ද?මාභුලි මාභුලින් කටාරකුත් හරේ?මේ බොත්හිතායේ වැයාර්යකුස
Call recording _251128_080730,High,Medium,UNCLEAR,"z_true=0.79 z_pred=0.72, no dominant signal",2.0,1.0,25.0,0.0,අනේ කුරුණයගෙලින් කටා කරන්නේ නුවර ඉන්වදුව කැම්පස්සෙකේ කර මැදබෝවලන් උසාවිය බිටි පස
Call recording _251128_092239,Medium,High,UNCLEAR,"z_true=1.67 z_pred=1.46, no dominant signal",0.0,1.0,37.0,0.15625,අපි ක්‍රගන්නේ කරන්නේ කරන්නේ අපි ක්‍රගන්නේ රජයේ පෝර සමාගයි. මේ අවත්තල වුරුත්ස්කය 
Call recording _251128_104418,Low,Low,CORRECT,,0.0,1.0,17.0,0.0,අයියේ මට යාලුයුත්වක මේ අම් බැරදුන් අපේ ආත්තයින මයියංගෙනේ මයියංගෙන ටවුන්නෙ වෙය අට
Call recording _251128_154736,Medium,Low,ASR_FAILURE,no keywords or context features fired,0.0,1.0,19.0,0.0555555555555555,අංගේ අම්මයේ විතරය ගෙදරින්නේ කළොතුමා අරවා සැන්ටලක පිචින්න පිටු පසි. හරිතකට. හරෙතා
Call recording _251128_174609,High,Low,UNCLEAR,"z_true=0.93 z_pred=0.63, no dominant signal",0.0,1.0,116.0,0.0666666666666666,මම නිළිශාට් කතා කරනි කිළිස් ප්‍රධානකාරයාලේ බඳවාගේ කතාන්නි? අපේ මම අද උදේ ප්‍රිණ්
Call recording _251128_215453,High,High,CORRECT,,1.0,1.0,98.0,0.0319148936170212,අයිපන්සේ ත්‍රවමේ අපි තාධීර්සාස පන්නලා සොය ලමල් ගාසේදිනෙක් ඉන්නාර ඔප්සල්ලෙකි ඉරගෙ
Call recording _251128_225506,High,Medium,UNCLEAR,"z_true=0.94 z_pred=0.83, no dominant signal",1.0,1.0,44.0,0.0,අය්ධද්ගවල් අන්ද්‍රාද්වරෙන් කථාතරැන් මින් බංග දෙනිහි. හාන්දියෙන්. ඉස්තරහට් සෙද්දර
Call recording _251128_232203,Low,High,MODEL_OVERRIDE,"text signal present, acoustics also closer to true class (z=0.91 vs 0.98 for predicted) - model still got it wrong",0.0,1.0,23.0,0.0,අයිපානු හාත්‍යයා මේ ක්‍රම්ගගේ තත්වයේ වැඩිවෙනවල් මමන් දන්නෙන් හගලා හරි ගොහොන්නේ ල
Call recording _251129_092106,High,Low,ASR_FAILURE,no keywords or context features fired,0.0,1.0,38.0,0.0714285714285714,මි මට ගම්පාහි ගම්පාවට කිරි කෘකන්ටක් දෙන් විදෙනෙත්ම ගම්ව අපේ ඉක්මර්ථ් ඇමද්‍රැක්ට්
Call recording _251129_103931,Medium,Low,ASR_FAILURE,no keywords or context features fired,0.0,1.0,13.0,0.0,එලෝ මයි ක්වියනුවන් කාගල් කවගන්නේ ප්‍රරෙක්ලාව ඕනීපා පාත්‍රයක්‍යත්‍යත්‍යත්‍යත්‍යත්
Call recording _251129_110959,Medium,Low,ASR_FAILURE,no keywords or context features fired,0.0,1.0,27.0,0.0384615384615384,එළවයි බවන් හළො කළොමේ කළම පේරණි කැම්පසින් මේ ආල මේ පහළ ඊරිගම් පැත්වේ ක්තන් බෝධීම 
Call recording _251129_111237,High,Medium,MODEL_OVERRIDE,"text signal present, acoustics also closer to true class (z=0.85 vs 0.89 for predicted) - model still got it wrong",0.0,1.0,24.0,0.0434782608695652,අයියල් ආයින් වෙලා එගොල්ලෝ වෙලා කරක්ට කිනිල්ලකියේ ඉතැරිලෝ ඇවිල්ල සැරීම නැහැ බාලන්
Call recording _251129_150256,High,Medium,MODEL_OVERRIDE,"text signal present, acoustics also closer to true class (z=0.67 vs 0.80 for predicted) - model still got it wrong",0.0,1.0,43.0,0.2307692307692307,අයිකන එයාලා ඉන්න දෙරින් තත්වේලු ඉන්න තත්වේද්ධන් බතුරු දාගන් එයන් දෙයලා ඉන්න දාගන
Call recording _251130_054850,Medium,Low,ASR_FAILURE,no keywords or context features fired,0.0,1.0,62.0,0.0571428571428571,අය අයික්තුතුතුතුමයි?ච්‍රයික්තුලාද්‍මඟමේද්ත් ප්‍රශ්නන්නි පාතකිනෙක්උමෝදර අදේ ළමානි
Call recording _251130_075849,Low,High,MODEL_OVERRIDE,"text signal present, acoustics also closer to true class (z=0.87 vs 1.04 for predicted) - model still got it wrong",1.0,1.0,108.0,0.1111111111111111,මත්තියමන් ඉන්නේ ආන්මුඩුවේ මට අනුමුඩුවේ නම් කොළුමකටයි යන්නෝනේ මම යන්නේ මගේ මයික් 
Call recording _251130_125506,High,Medium,UNCLEAR,"z_true=1.02 z_pred=1.00, no dominant signal",0.0,1.0,53.0,0.1395348837209302,අග්‍රව්ගත්තොන්කැරැනී හරිය වගැනී පන්සළට අල්ලපු ගිදර් අල්ලපු ග්‍රල්පාරේ කළිනිය හතය
Call recording _251130_150637,Low,High,ASR_FAILURE,no keywords or context features fired,0.0,1.0,52.0,0.1666666666666666,අයෙත්මේ ආපදා කළරමණකයට මදෙසානි කථා කරන්කේ පාණදුර ඒ ඉරියායයිකට නම් දැනට කිසිමු වලප
Call recording _251130_192058,Low,Medium,MODEL_OVERRIDE,"text signal present, acoustics also closer to true class (z=0.80 vs 0.90 for predicted) - model still got it wrong",1.0,1.0,20.0,0.0555555555555555,මටුට දැනගන්ල කුළුවන්ද අර මේ මේ හළාවත දැතුරුවයේගාව මේ පොඩි ප්‍රශ්නයකුමන් බත්තේක් 
Call recording_251128_213632,Low,Low,CORRECT,,0.0,1.0,26.0,0.0,අමේ පේරාධිනිය විශ්විද්‍යාලේ හොත්ගල් වල හිටිපු ගෑන්ලලපයික් තත්වේ ගොමස් කළගන්න කුර
Call recording tamil,High,High,CORRECT,,0.0,0.0,0.0,0.0,nan
